PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM437093	GSM437093	GSM437093.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437094	GSM437094	GSM437094.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437095	GSM437095	GSM437095.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437096	GSM437096	GSM437096.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437097	GSM437097	GSM437097.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437098	GSM437098	GSM437098.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437099	GSM437099	GSM437099.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437100	GSM437100	GSM437100.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437101	GSM437101	GSM437101.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437102	GSM437102	GSM437102.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437103	GSM437103	GSM437103.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437104	GSM437104	GSM437104.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437105	GSM437105	GSM437105.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437106	GSM437106	GSM437106.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437107	GSM437107	GSM437107.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437108	GSM437108	GSM437108.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437109	GSM437109	GSM437109.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437110	GSM437110	GSM437110.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437111	GSM437111	GSM437111.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437112	GSM437112	GSM437112.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437113	GSM437113	GSM437113.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437114	GSM437114	GSM437114.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437115	GSM437115	GSM437115.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437116	GSM437116	GSM437116.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437117	GSM437117	GSM437117.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437118	GSM437118	GSM437118.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437119	GSM437119	GSM437119.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437120	GSM437120	GSM437120.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437121	GSM437121	GSM437121.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437122	GSM437122	GSM437122.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437123	GSM437123	GSM437123.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437124	GSM437124	GSM437124.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437125	GSM437125	GSM437125.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437126	GSM437126	GSM437126.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437127	GSM437127	GSM437127.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437128	GSM437128	GSM437128.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437129	GSM437129	GSM437129.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437130	GSM437130	GSM437130.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437131	GSM437131	GSM437131.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437132	GSM437132	GSM437132.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437133	GSM437133	GSM437133.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437134	GSM437134	GSM437134.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437135	GSM437135	GSM437135.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437136	GSM437136	GSM437136.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437137	GSM437137	GSM437137.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437138	GSM437138	GSM437138.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437139	GSM437139	GSM437139.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437140	GSM437140	GSM437140.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
GSM437141	GSM437141	GSM437141.CEL	U133 Plus 2.0	CRC_SMITH_2010_01.Rda	RMA normalization
