PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM177493	GSM177493	GSM177493.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177494	GSM177494	GSM177494.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177495	GSM177495	GSM177495.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177496	GSM177496	GSM177496.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177497	GSM177497	GSM177497.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177498	GSM177498	GSM177498.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177499	GSM177499	GSM177499.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177500	GSM177500	GSM177500.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177501	GSM177501	GSM177501.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177502	GSM177502	GSM177502.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177503	GSM177503	GSM177503.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177504	GSM177504	GSM177504.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177505	GSM177505	GSM177505.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177506	GSM177506	GSM177506.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177507	GSM177507	GSM177507.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177508	GSM177508	GSM177508.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177509	GSM177509	GSM177509.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177510	GSM177510	GSM177510.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177511	GSM177511	GSM177511.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177512	GSM177512	GSM177512.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177513	GSM177513	GSM177513.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177514	GSM177514	GSM177514.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177515	GSM177515	GSM177515.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177516	GSM177516	GSM177516.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177517	GSM177517	GSM177517.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177518	GSM177518	GSM177518.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177519	GSM177519	GSM177519.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177520	GSM177520	GSM177520.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177521	GSM177521	GSM177521.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177522	GSM177522	GSM177522.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177523	GSM177523	GSM177523.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177524	GSM177524	GSM177524.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177525	GSM177525	GSM177525.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177526	GSM177526	GSM177526.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177527	GSM177527	GSM177527.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177528	GSM177528	GSM177528.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177529	GSM177529	GSM177529.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177530	GSM177530	GSM177530.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177531	GSM177531	GSM177531.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177532	GSM177532	GSM177532.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177533	GSM177533	GSM177533.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177534	GSM177534	GSM177534.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177535	GSM177535	GSM177535.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177536	GSM177536	GSM177536.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177537	GSM177537	GSM177537.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177538	GSM177538	GSM177538.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177539	GSM177539	GSM177539.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177540	GSM177540	GSM177540.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177541	GSM177541	GSM177541.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177542	GSM177542	GSM177542.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177543	GSM177543	GSM177543.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177544	GSM177544	GSM177544.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177545	GSM177545	GSM177545.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
GSM177546	GSM177546	GSM177546.CEL	HT-HG_U133A	zhou_binary.Rda	RMA normalized
