SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
786_0	786-0	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
A498	A498	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
A549	A549/ATCC	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
ACHN	ACHN	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
BT_549	BT-549	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
CAKI_1	CAKI-1	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
CCRF_CEM	CCRF-CEM	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
COLO205	COLO 205	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
DU_145	DU-145	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
EKVX	EKVX	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
HCC_2998	HCC-2998	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
HCT_116	HCT-116	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
HCT_15	HCT-15	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
HL_60	HL-60(TB)	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
HOP_62	HOP-62	Human miRNA Microarray 2.0 G4470B (A)	NCI60_CELL_LINE_COLLECTION_microRNA.Rda	75th scaling normalization using GeneSpring
