TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
PTNM_T	T1	T1 - Size and/or extent of the primary tumor		T1 - Size and/or extent of the primary tumor
PTNM_T	T2	T2 - Size and/or extent of the primary tumor		T2 - Size and/or extent of the primary tumor
PTNM_T	T3	T3 - Size and/or extent of the primary tumor		T3 - Size and/or extent of the primary tumor
PTNM_T	T4	T4 - Size and/or extent of the primary tumor		T4 - Size and/or extent of the primary tumor
PTNM_N	N0	N0 - No regional lymph node involvement		N0 - No regional lymph node involvement (no cancer found in the lymph nodes)
PTNM_N	N1	N1 - Involvement of regional lymph nodes		N1 - Involvement of regional lymph nodes (number and/or extent of spread)
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient
RISK_GROUP	HIGH	HIGH		High Risk Group
RISK_GROUP	LOW	LOW		Low Risk Group
