TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
GENDER	MALE	MALE		MALE
GENDER	FEMALE	FEMALE		FEMALE
RACE	WHITE	WHITE		WHITE
RACE	AFRICAN-AMERICAN	AFRICAN-AMERICAN		AFRICAN-AMERICAN
RACE	ASIAN	ASIAN		ASIAN
RACE	UNKNOWN	UNKNOWN		UNKNOWN
RACE	Native Hawaiian or Other Pacific Islander	Native Hawaiian or Other Pacific Islander		Native Hawaiian or Other Pacific Islander
PRIOR_THERAPY_SURGERY_OUTCOME_2	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME_2	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
PRIOR_THERAPY_SURGERY_OUTCOME_2	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME_2	UNKNOWN	UNKNOWN		UNKNOWN
PT_NAME2	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
PT_NAME2	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
PT_NAME2	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
PRIOR_THERAPY_SURGERY_OUTCOME_1	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME_1	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
PRIOR_THERAPY_SURGERY_OUTCOME_1	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME_1	UNKNOWN	UNKNOWN		UNKNOWN
PT_NAME1	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
PT_NAME1	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
PT_NAME1	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
AGE_RANGE	45-49	45-49		45-49
AGE_RANGE	60-64	60-64		60-64
