SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM27065	GSM27065	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27066	GSM27066	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27068	GSM27068	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27069	GSM27069	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27071	GSM27071	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27072	GSM27072	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27074	GSM27074	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27075	GSM27075	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27077	GSM27077	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27079	GSM27079	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27082	GSM27082	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27083	GSM27083	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27085	GSM27085	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27087	GSM27087	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27088	GSM27088	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27091	GSM27091	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27093	GSM27093	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27094	GSM27094	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27095	GSM27095	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27097	GSM27097	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27098	GSM27098	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27100	GSM27100	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27101	GSM27101	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27102	GSM27102	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27104	GSM27104	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27106	GSM27106	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27107	GSM27107	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27108	GSM27108	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
GSM27109	GSM27109	U133A	LEU_RAETZ_2006_01.Rda	RMA Normalization
