SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
A1	GSM1977601	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A2	GSM1977602	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A3	GSM1977603	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A4	GSM1977604	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A5	GSM1977605	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A6	GSM1977606	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A7	GSM1977607	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A8	GSM1977608	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A9	GSM1977609	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A10	GSM1977610	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A11	GSM1977611	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A12	GSM1977612	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A13	GSM1977613	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A14	GSM1977614	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A15	GSM1977615	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
A16	GSM1977616	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B1	GSM1977617	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B2	GSM1977618	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B3	GSM1977619	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B4	GSM1977620	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B5	GSM1977621	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B6	GSM1977622	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B7	GSM1977623	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B8	GSM1977624	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B9	GSM1977625	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B10	GSM1977626	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B11	GSM1977627	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B12	GSM1977628	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B13	GSM1977629	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
B14	GSM1977630	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
D1	GSM1977631	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
D2	GSM1977632	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
D3	GSM1977633	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
D4	GSM1977634	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
D5	GSM1977635	Agilent-046064 Unrestricted_Human_miRNA_V19.0 (GPL19730)	ID_FENG_XXXX_01_microRNA.Rda	AFE and RMA algorithm
