SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM267499	GSM267499	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267500	GSM267500	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267501	GSM267501	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267502	GSM267502	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267503	GSM267503	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267504	GSM267504	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267505	GSM267505	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267506	GSM267506	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267507	GSM267507	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267508	GSM267508	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267509	GSM267509	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267510	GSM267510	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267511	GSM267511	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267512	GSM267512	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267513	GSM267513	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267514	GSM267514	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267515	GSM267515	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267516	GSM267516	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267517	GSM267517	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267518	GSM267518	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267519	GSM267519	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267520	GSM267520	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267521	GSM267521	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267522	GSM267522	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267523	GSM267523	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267524	GSM267524	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
GSM267525	GSM267525	U133A	GCT_PALMER_2008_01.Rda	RMA Normalization
