SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
TamR_Control_0h	GSM539602	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_1h	GSM539603	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_2h	GSM539604	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_3h	GSM539605	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_6h	GSM539606	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_12h	GSM539607	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_24h	GSM539608	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_Control_48h	GSM539609	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_1h	GSM539610	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_2h	GSM539611	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_3h	GSM539612	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_6h	GSM539613	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_12h	GSM539614	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_24h	GSM539615	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2_48h	GSM539616	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2plusTamoxifen_1h	GSM539617	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2plusTamoxifen_2h	GSM539618	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2plusTamoxifen_3h	GSM539619	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
TamR_E2plusTamoxifen_6h	GSM539620	U133 Plus 2.0	BRC_OYAMA_2011_01.Rda	RMA Normalization
