SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
lcc_1p11_copynumber	lcc_1p11_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc1_p12_copynumber	lcc1_p12_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc_1p7_copynumber	lcc_1p7_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc9_p10_copynumber	lcc9_p10_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc9_p3_copynumber	lcc9_p3_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc9_p4_copynumber	lcc9_p4_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
MCF_7_2_P40_copynumber	MCF_7_2_P40_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
MCF_7_2_P57_copynumber	MCF_7_2_P57_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
RR_P30_copynumber	RR_P30_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
RR_P33_copynumber	RR_P33_copynumber	CIN INDEX CHROMOSOME	BRC_CLARKE_9999_01_CIN_CHROMOSOMES.Rda	Chromosome-level Chromosomal Instability Index
lcc_1p11_copynumber	lcc_1p11_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
lcc1_p12_copynumber	lcc1_p12_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
lcc_1p7_copynumber	lcc_1p7_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
lcc9_p10_copynumber	lcc9_p10_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
lcc9_p3_copynumber	lcc9_p3_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
lcc9_p4_copynumber	lcc9_p4_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
MCF_7_2_P40_copynumber	MCF_7_2_P40_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
MCF_7_2_P57_copynumber	MCF_7_2_P57_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
RR_P30_copynumber	RR_P30_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
RR_P33_copynumber	RR_P33_copynumber	CIN INDEX CYTOBAND	BRC_CLARKE_9999_01_CIN_CYTOBANDS.Rda	Cytobands-level Chromosomal Instability Index
